1:0:d=2020070100:CLMR:1 hybrid level:anl:
2:4371:d=2020070100:ICMR:1 hybrid level:anl:
3:10442:d=2020070100:RWMR:1 hybrid level:anl:
4:18053:d=2020070100:SNMR:1 hybrid level:anl:
5:19718:d=2020070100:GRLE:1 hybrid level:anl:
6:20122:d=2020070100:REFC:entire atmosphere:anl:
7:92712:d=2020070100:VIS:surface:anl:
8:152287:d=2020070100:UGRD:planetary boundary layer:anl:
9:207056:d=2020070100:VGRD:planetary boundary layer:anl:
10:262438:d=2020070100:VRATE:planetary boundary layer:anl:
339:16192092:d=2020070100:ICMR:900 mb:anl:
340:16210768:d=2020070100:RWMR:900 mb:anl:
341:16220155:d=2020070100:SNMR:900 mb:anl:
342:16225547:d=2020070100:GRLE:900 mb:anl:
343:16228196:d=2020070100:HGT:925 mb:anl:
344:16306860:d=2020070100:TMP:925 mb:anl:
345:16352713:d=2020070100:RH:925 mb:anl:
346:16424930:d=2020070100:TCDC:925 mb:anl:
347:16425109:d=2020070100:VVEL:925 mb:anl:
348:16515902:d=2020070100:DZDT:925 mb:anl:
349:16596641:d=2020070100:UGRD:925 mb:anl:
350:16676655:d=2020070100:VGRD:925 mb:anl:
351:16758175:d=2020070100:ABSV:925 mb:anl:
352:16830810:d=2020070100:CLMR:925 mb:anl:
353:16854710:d=2020070100:ICMR:925 mb:anl:
354:16871376:d=2020070100:RWMR:925 mb:anl:
355:16880521:d=2020070100:SNMR:925 mb:anl:
356:16885266:d=2020070100:GRLE:925 mb:anl:
357:16887449:d=2020070100:HGT:950 mb:anl:
358:16966898:d=2020070100:TMP:950 mb:anl:
359:17012451:d=2020070100:RH:950 mb:anl:
360:17083130:d=2020070100:TCDC:950 mb:anl:
361:17083309:d=2020070100:VVEL:950 mb:anl:
362:17172286:d=2020070100:DZDT:950 mb:anl:
363:17250451:d=2020070100:UGRD:950 mb:anl:
364:17330553:d=2020070100:VGRD:950 mb:anl:
365:17411789:d=2020070100:ABSV:950 mb:anl:
366:17483878:d=2020070100:CLMR:950 mb:anl:
367:17501419:d=2020070100:ICMR:950 mb:anl:
368:17516592:d=2020070100:RWMR:950 mb:anl:
369:17525046:d=2020070100:SNMR:950 mb:anl:
370:17529057:d=2020070100:GRLE:950 mb:anl:
371:17530944:d=2020070100:HINDEX:surface:anl:
372:17547538:d=2020070100:HGT:975 mb:anl:
373:17628124:d=2020070100:TMP:975 mb:anl:
374:17673549:d=2020070100:RH:975 mb:anl:
375:17742483:d=2020070100:TCDC:975 mb:anl:
376:17742662:d=2020070100:VVEL:975 mb:anl:
377:17827231:d=2020070100:DZDT:975 mb:anl:
378:17900965:d=2020070100:UGRD:975 mb:anl:
379:17981024:d=2020070100:VGRD:975 mb:anl:
380:18061900:d=2020070100:ABSV:975 mb:anl:
381:18133176:d=2020070100:CLMR:975 mb:anl:
382:18148957:d=2020070100:ICMR:975 mb:anl:
383:18161843:d=2020070100:RWMR:975 mb:anl:
384:18169305:d=2020070100:SNMR:975 mb:anl:
385:18170721:d=2020070100:GRLE:975 mb:anl:
386:18171995:d=2020070100:TMP:1000 mb:anl:
387:18217113:d=2020070100:RH:1000 mb:anl:
388:18283961:d=2020070100:TCDC:1000 mb:anl:
389:18284140:d=2020070100:VVEL:1000 mb:anl:
390:18360675:d=2020070100:DZDT:1000 mb:anl:
391:18426335:d=2020070100:UGRD:1000 mb:anl:
392:18506106:d=2020070100:VGRD:1000 mb:anl:
393:18586380:d=2020070100:ABSV:1000 mb:anl:
394:18656712:d=2020070100:CLMR:1000 mb:anl:
395:18663819:d=2020070100:ICMR:1000 mb:anl:
396:18669825:d=2020070100:RWMR:1000 mb:anl:
397:18674577:d=2020070100:SNMR:1000 mb:anl:
398:18675473:d=2020070100:GRLE:1000 mb:anl:
399:18676477:d=2020070100:O3MR:1000 mb:anl:
400:18754336:d=2020070100:MSLET:mean sea level:anl:
401:18834325:d=2020070100:HGT:1000 mb:anl:
402:18916349:d=2020070100:PRES:surface:anl:
403:18990810:d=2020070100:HGT:surface:anl:
404:19034857:d=2020070100:TMP:surface:anl:
405:19082729:d=2020070100:TSOIL:0-0.1 m below ground:anl:
406:19110164:d=2020070100:SOILW:0-0.1 m below ground:anl:
407:19134956:d=2020070100:TSOIL:0.1-0.4 m below ground:anl:
408:19162119:d=2020070100:SOILW:0.1-0.4 m below ground:anl:
409:19187317:d=2020070100:TSOIL:0.4-1 m below ground:anl:
410:19223144:d=2020070100:SOILW:0.4-1 m below ground:anl:
411:19248537:d=2020070100:TSOIL:1-2 m below ground:anl:
412:19283910:d=2020070100:SOILW:1-2 m below ground:anl:
413:19308847:d=2020070100:WEASD:surface:anl:
414:19325206:d=2020070100:SNOD:surface:anl:
415:19341156:d=2020070100:TMP:2 m above ground:anl:
416:19414334:d=2020070100:SPFH:2 m above ground:anl:
417:19477627:d=2020070100:DPT:2 m above ground:anl:
418:19526790:d=2020070100:RH:2 m above ground:anl:
419:19591496:d=2020070100:APTMP:2 m above ground:anl:
420:19642636:d=2020070100:UGRD:10 m above ground:anl:
421:19721481:d=2020070100:VGRD:10 m above ground:anl:
422:19800227:d=2020070100:ICEG:10 m above mean sea level:anl:
423:19801904:d=2020070100:CPOFP:surface:anl:
424:19855389:d=2020070100:PRATE:surface:anl:
425:19867379:d=2020070100:CSNOW:surface:anl:
426:19870222:d=2020070100:CICEP:surface:anl:
427:19870432:d=2020070100:CFRZR:surface:anl:
428:19870735:d=2020070100:CRAIN:surface:anl:
429:19882713:d=2020070100:WILT:surface:anl:
430:19910164:d=2020070100:FLDCP:surface:anl:
431:19938158:d=2020070100:SUNSD:surface:anl:
432:19957935:d=2020070100:LFTX:surface:anl:
433:20007284:d=2020070100:CAPE:surface:anl:
434:20056323:d=2020070100:CIN:surface:anl:
435:20089833:d=2020070100:PWAT:entire atmosphere (considered as a single layer):anl:
436:20142509:d=2020070100:CWAT:entire atmosphere (considered as a single layer):anl:
437:20183610:d=2020070100:RH:entire atmosphere (considered as a single layer):anl:
438:20243182:d=2020070100:TOZNE:entire atmosphere (considered as a single layer):anl:
439:20299564:d=2020070100:HLCY:3000-0 m above ground:anl:
440:20361060:d=2020070100:USTM:6000-0 m above ground:anl:
441:20444398:d=2020070100:VSTM:6000-0 m above ground:anl:
442:20526794:d=2020070100:PRES:tropopause:anl:
443:20625196:d=2020070100:ICAHT:tropopause:anl:
444:20720113:d=2020070100:HGT:tropopause:anl:
445:20814558:d=2020070100:TMP:tropopause:anl:
446:20860600:d=2020070100:UGRD:tropopause:anl:
447:20915784:d=2020070100:VGRD:tropopause:anl:
448:20970534:d=2020070100:VWSH:tropopause:anl:
449:21034889:d=2020070100:PRES:max wind:anl:
450:21152572:d=2020070100:ICAHT:max wind:anl:
451:21271922:d=2020070100:HGT:max wind:anl:
452:21392823:d=2020070100:UGRD:max wind:anl:
453:21450948:d=2020070100:VGRD:max wind:anl:
454:21511523:d=2020070100:TMP:max wind:anl:
455:21580305:d=2020070100:UGRD:20 m above ground:anl:
456:21659824:d=2020070100:VGRD:20 m above ground:anl:
457:21739614:d=2020070100:UGRD:30 m above ground:anl:
458:21819463:d=2020070100:VGRD:30 m above ground:anl:
459:21899405:d=2020070100:UGRD:40 m above ground:anl:
460:21979428:d=2020070100:VGRD:40 m above ground:anl:
461:22059642:d=2020070100:UGRD:50 m above ground:anl:
462:22139945:d=2020070100:VGRD:50 m above ground:anl:
463:22220401:d=2020070100:TMP:80 m above ground:anl:
464:22266303:d=2020070100:SPFH:80 m above ground:anl:
465:22329813:d=2020070100:PRES:80 m above ground:anl:
466:22403922:d=2020070100:UGRD:80 m above ground:anl:
467:22484679:d=2020070100:VGRD:80 m above ground:anl:
468:22565627:d=2020070100:TMP:100 m above ground:anl:
469:22611863:d=2020070100:UGRD:100 m above ground:anl:
470:22692626:d=2020070100:VGRD:100 m above ground:anl:
471:22773748:d=2020070100:TMP:1829 m above mean sea level:anl:
472:22822526:d=2020070100:UGRD:1829 m above mean sea level:anl:
473:22905302:d=2020070100:VGRD:1829 m above mean sea level:anl:
474:22989695:d=2020070100:TMP:2743 m above mean sea level:anl:
475:23037318:d=2020070100:UGRD:2743 m above mean sea level:anl:
476:23121865:d=2020070100:VGRD:2743 m above mean sea level:anl:
477:23207955:d=2020070100:TMP:3658 m above mean sea level:anl:
478:23254973:d=2020070100:UGRD:3658 m above mean sea level:anl:
479:23340696:d=2020070100:VGRD:3658 m above mean sea level:anl:
480:23428013:d=2020070100:HGT:0C isotherm:anl:
481:23510823:d=2020070100:RH:0C isotherm:anl:
482:23583293:d=2020070100:HGT:highest tropospheric freezing level:anl:
483:23665401:d=2020070100:RH:highest tropospheric freezing level:anl:
484:23737872:d=2020070100:TMP:30-0 mb above ground:anl:
485:23783808:d=2020070100:RH:30-0 mb above ground:anl:
486:23851113:d=2020070100:SPFH:30-0 mb above ground:anl:
487:23940769:d=2020070100:UGRD:30-0 mb above ground:anl:
488:24021171:d=2020070100:VGRD:30-0 mb above ground:anl:
489:24102124:d=2020070100:4LFTX:surface:anl:
490:24151167:d=2020070100:CAPE:180-0 mb above ground:anl:
491:24201709:d=2020070100:CIN:180-0 mb above ground:anl:
492:24237590:d=2020070100:HPBL:surface:anl:
493:24335977:d=2020070100:RH:0.33-1 sigma layer:anl:
494:24405106:d=2020070100:RH:0.44-1 sigma layer:anl:
495:24472808:d=2020070100:RH:0.72-0.94 sigma layer:anl:
496:24543937:d=2020070100:RH:0.44-0.72 sigma layer:anl:
497:24615958:d=2020070100:TMP:0.995 sigma level:anl:
498:24662101:d=2020070100:POT:0.995 sigma level:anl:
499:24734472:d=2020070100:RH:0.995 sigma level:anl:
500:24801524:d=2020070100:UGRD:0.995 sigma level:anl:
501:24881584:d=2020070100:VGRD:0.995 sigma level:anl:
502:24961799:d=2020070100:VVEL:0.995 sigma level:anl:
503:25034441:d=2020070100:CAPE:255-0 mb above ground:anl:
504:25083216:d=2020070100:CIN:255-0 mb above ground:anl:
505:25118448:d=2020070100:PLPL:255-0 mb above ground:anl:
506:25201253:d=2020070100:LAND:surface:anl:
507:25205856:d=2020070100:ICEC:surface:anl:
508:25213396:d=2020070100:UGRD:PV=2e-06 (Km^2/kg/s) surface:anl:
509:25255679:d=2020070100:VGRD:PV=2e-06 (Km^2/kg/s) surface:anl:
510:25297710:d=2020070100:TMP:PV=2e-06 (Km^2/kg/s) surface:anl:
511:25340181:d=2020070100:HGT:PV=2e-06 (Km^2/kg/s) surface:anl:
512:25408420:d=2020070100:PRES:PV=2e-06 (Km^2/kg/s) surface:anl:
513:25474812:d=2020070100:VWSH:PV=2e-06 (Km^2/kg/s) surface:anl:
514:25520700:d=2020070100:UGRD:PV=-2e-06 (Km^2/kg/s) surface:anl:
515:25561465:d=2020070100:VGRD:PV=-2e-06 (Km^2/kg/s) surface:anl:
516:25601910:d=2020070100:TMP:PV=-2e-06 (Km^2/kg/s) surface:anl:
517:25642448:d=2020070100:HGT:PV=-2e-06 (Km^2/kg/s) surface:anl:
518:25708623:d=2020070100:PRES:PV=-2e-06 (Km^2/kg/s) surface:anl:
519:25773675:d=2020070100:VWSH:PV=-2e-06 (Km^2/kg/s) surface:anl:
520:25817383:d=2020070100:PRMSL:mean sea level:anl:
521:25883981:d=2020070100:5WAVH:500 mb:anl:
522:25917719:d=2020070100:LANDN:surface:anl:
12:345259:d=2020070100:HGT:0.4 mb:anl:
16:563803:d=2020070100:HGT:1 mb:anl:
22:890603:d=2020070100:HGT:2 mb:anl:
28:1219473:d=2020070100:HGT:3 mb:anl:
34:1550312:d=2020070100:HGT:5 mb:anl:
40:1882031:d=2020070100:HGT:7 mb:anl:
46:2190054:d=2020070100:HGT:10 mb:anl:
53:2561422:d=2020070100:HGT:15 mb:anl:
57:2774868:d=2020070100:HGT:20 mb:anl:
64:3153349:d=2020070100:HGT:30 mb:anl:
71:3553407:d=2020070100:HGT:40 mb:anl:
75:3795593:d=2020070100:HGT:50 mb:anl:
88:4341044:d=2020070100:HGT:70 mb:anl:
95:4770357:d=2020070100:HGT:100 mb:anl:
110:5430908:d=2020070100:HGT:150 mb:anl:
125:6085820:d=2020070100:HGT:200 mb:anl:
140:6722384:d=2020070100:HGT:250 mb:anl:
155:7410908:d=2020070100:HGT:300 mb:anl:
170:8121343:d=2020070100:HGT:350 mb:anl:
185:8801209:d=2020070100:HGT:400 mb:anl:
200:9482695:d=2020070100:HGT:450 mb:anl:
214:10067008:d=2020070100:HGT:500 mb:anl:
229:10807032:d=2020070100:HGT:550 mb:anl:
243:11451822:d=2020070100:HGT:600 mb:anl:
257:12102469:d=2020070100:HGT:650 mb:anl:
271:12751660:d=2020070100:HGT:700 mb:anl:
286:13460337:d=2020070100:HGT:750 mb:anl:
300:14120994:d=2020070100:HGT:800 mb:anl:
314:14785970:d=2020070100:HGT:850 mb:anl:
329:15548852:d=2020070100:HGT:900 mb:anl:
343:16228196:d=2020070100:HGT:925 mb:anl:
357:16887449:d=2020070100:HGT:950 mb:anl:
372:17547538:d=2020070100:HGT:975 mb:anl:
401:18834325:d=2020070100:HGT:1000 mb:anl:
403:18990810:d=2020070100:HGT:surface:anl:
444:20720113:d=2020070100:HGT:tropopause:anl:
451:21271922:d=2020070100:HGT:max wind:anl:
480:23428013:d=2020070100:HGT:0C isotherm:anl:
482:23583293:d=2020070100:HGT:highest tropospheric freezing level:anl:
511:25340181:d=2020070100:HGT:PV=2e-06 (Km^2/kg/s) surface:anl:
517:25642448:d=2020070100:HGT:PV=-2e-06 (Km^2/kg/s) surface:anl:
1:0:d=2020070100:CLMR:1 hybrid level:anl:
2:4371:d=2020070100:ICMR:1 hybrid level:anl:
3:10442:d=2020070100:RWMR:1 hybrid level:anl:
4:18053:d=2020070100:SNMR:1 hybrid level:anl:
5:19718:d=2020070100:GRLE:1 hybrid level:anl:
6:20122:d=2020070100:REFC:entire atmosphere:anl:
7:92712:d=2020070100:VIS:surface:anl:
8:152287:d=2020070100:UGRD:planetary boundary layer:anl:
9:207056:d=2020070100:VGRD:planetary boundary layer:anl:
10:262438:d=2020070100:VRATE:planetary boundary layer:anl:
11:290495:d=2020070100:GUST:surface:anl:
12:345259:d=2020070100:HGT:0.4 mb:anl:
13:408521:d=2020070100:TMP:0.4 mb:anl:
14:444294:d=2020070100:ABSV:0.4 mb:anl:
15:480569:d=2020070100:O3MR:0.4 mb:anl:
16:563803:d=2020070100:HGT:1 mb:anl:
17:627096:d=2020070100:TMP:1 mb:anl:
18:667558:d=2020070100:RH:1 mb:anl:
19:667768:d=2020070100:UGRD:1 mb:anl:
20:738317:d=2020070100:VGRD:1 mb:anl:
21:802542:d=2020070100:O3MR:1 mb:anl:
22:890603:d=2020070100:HGT:2 mb:anl:
23:951932:d=2020070100:TMP:2 mb:anl:
24:991446:d=2020070100:RH:2 mb:anl:
25:992934:d=2020070100:UGRD:2 mb:anl:
26:1064142:d=2020070100:VGRD:2 mb:anl:
27:1128951:d=2020070100:O3MR:2 mb:anl:
28:1219473:d=2020070100:HGT:3 mb:anl:
29:1280362:d=2020070100:TMP:3 mb:anl:
30:1320537:d=2020070100:RH:3 mb:anl:
31:1324480:d=2020070100:UGRD:3 mb:anl:
32:1396450:d=2020070100:VGRD:3 mb:anl:
33:1462891:d=2020070100:O3MR:3 mb:anl:
34:1550312:d=2020070100:HGT:5 mb:anl:
35:1608329:d=2020070100:TMP:5 mb:anl:
36:1650431:d=2020070100:RH:5 mb:anl:
37:1657997:d=2020070100:UGRD:5 mb:anl:
38:1731365:d=2020070100:VGRD:5 mb:anl:
39:1799866:d=2020070100:O3MR:5 mb:anl:
40:1882031:d=2020070100:HGT:7 mb:anl:
41:1938926:d=2020070100:TMP:7 mb:anl:
42:1978264:d=2020070100:RH:7 mb:anl:
43:1989720:d=2020070100:UGRD:7 mb:anl:
44:2061238:d=2020070100:VGRD:7 mb:anl:
45:2127465:d=2020070100:O3MR:7 mb:anl:
46:2190054:d=2020070100:HGT:10 mb:anl:
47:2253282:d=2020070100:TMP:10 mb:anl:
48:2292830:d=2020070100:RH:10 mb:anl:
49:2308918:d=2020070100:UGRD:10 mb:anl:
50:2380965:d=2020070100:VGRD:10 mb:anl:
51:2447775:d=2020070100:ABSV:10 mb:anl:
52:2496897:d=2020070100:O3MR:10 mb:anl:
53:2561422:d=2020070100:HGT:15 mb:anl:
54:2623029:d=2020070100:TMP:15 mb:anl:
55:2661120:d=2020070100:ABSV:15 mb:anl:
56:2708800:d=2020070100:O3MR:15 mb:anl:
57:2774868:d=2020070100:HGT:20 mb:anl:
58:2835073:d=2020070100:TMP:20 mb:anl:
59:2873612:d=2020070100:RH:20 mb:anl:
60:2895617:d=2020070100:UGRD:20 mb:anl:
61:2967030:d=2020070100:VGRD:20 mb:anl:
62:3033495:d=2020070100:ABSV:20 mb:anl:
63:3083621:d=2020070100:O3MR:20 mb:anl:
64:3153349:d=2020070100:HGT:30 mb:anl:
65:3211853:d=2020070100:TMP:30 mb:anl:
66:3249202:d=2020070100:RH:30 mb:anl:
67:3275589:d=2020070100:UGRD:30 mb:anl:
68:3346482:d=2020070100:VGRD:30 mb:anl:
69:3412699:d=2020070100:ABSV:30 mb:anl:
70:3464318:d=2020070100:O3MR:30 mb:anl:
71:3553407:d=2020070100:HGT:40 mb:anl:
72:3610717:d=2020070100:TMP:40 mb:anl:
73:3647325:d=2020070100:ABSV:40 mb:anl:
74:3699268:d=2020070100:O3MR:40 mb:anl:
75:3795593:d=2020070100:HGT:50 mb:anl:
76:3859933:d=2020070100:TMP:50 mb:anl:
77:3896756:d=2020070100:RH:50 mb:anl:
78:3930498:d=2020070100:TCDC:50 mb:anl:
79:3930677:d=2020070100:UGRD:50 mb:anl:
80:4000014:d=2020070100:VGRD:50 mb:anl:
81:4066298:d=2020070100:ABSV:50 mb:anl:
82:4119414:d=2020070100:CLMR:50 mb:anl:
83:4119593:d=2020070100:ICMR:50 mb:anl:
84:4126362:d=2020070100:RWMR:50 mb:anl:
85:4155972:d=2020070100:SNMR:50 mb:anl:
86:4199910:d=2020070100:GRLE:50 mb:anl:
87:4244447:d=2020070100:O3MR:50 mb:anl:
88:4341044:d=2020070100:HGT:70 mb:anl:
89:4404191:d=2020070100:TMP:70 mb:anl:
90:4441297:d=2020070100:RH:70 mb:anl:
91:4483332:d=2020070100:UGRD:70 mb:anl:
92:4553281:d=2020070100:VGRD:70 mb:anl:
93:4620412:d=2020070100:ABSV:70 mb:anl:
94:4675539:d=2020070100:O3MR:70 mb:anl:
95:4770357:d=2020070100:HGT:100 mb:anl:
96:4833518:d=2020070100:TMP:100 mb:anl:
97:4869652:d=2020070100:RH:100 mb:anl:
98:4918052:d=2020070100:TCDC:100 mb:anl:
99:4918231:d=2020070100:VVEL:100 mb:anl:
100:5010354:d=2020070100:DZDT:100 mb:anl:
101:5088479:d=2020070100:UGRD:100 mb:anl:
102:5159904:d=2020070100:VGRD:100 mb:anl:
103:5228164:d=2020070100:ABSV:100 mb:anl:
104:5284733:d=2020070100:CLMR:100 mb:anl:
105:5285066:d=2020070100:ICMR:100 mb:anl:
106:5296487:d=2020070100:RWMR:100 mb:anl:
107:5340959:d=2020070100:SNMR:100 mb:anl:
108:5341198:d=2020070100:GRLE:100 mb:anl:
109:5341427:d=2020070100:O3MR:100 mb:anl:
110:5430908:d=2020070100:HGT:150 mb:anl:
111:5494253:d=2020070100:TMP:150 mb:anl:
112:5529900:d=2020070100:RH:150 mb:anl:
113:5587171:d=2020070100:TCDC:150 mb:anl:
114:5587350:d=2020070100:VVEL:150 mb:anl:
115:5659230:d=2020070100:DZDT:150 mb:anl:
116:5739508:d=2020070100:UGRD:150 mb:anl:
117:5813846:d=2020070100:VGRD:150 mb:anl:
118:5886859:d=2020070100:ABSV:150 mb:anl:
119:5948746:d=2020070100:CLMR:150 mb:anl:
120:5952406:d=2020070100:ICMR:150 mb:anl:
121:5971404:d=2020070100:RWMR:150 mb:anl:
122:5998562:d=2020070100:SNMR:150 mb:anl:
123:5999457:d=2020070100:GRLE:150 mb:anl:
124:5999846:d=2020070100:O3MR:150 mb:anl:
125:6085820:d=2020070100:HGT:200 mb:anl:
126:6149752:d=2020070100:TMP:200 mb:anl:
127:6186369:d=2020070100:RH:200 mb:anl:
128:6252913:d=2020070100:TCDC:200 mb:anl:
129:6253092:d=2020070100:VVEL:200 mb:anl:
130:6329866:d=2020070100:DZDT:200 mb:anl:
131:6411619:d=2020070100:UGRD:200 mb:anl:
132:6461212:d=2020070100:VGRD:200 mb:anl:
133:6511130:d=2020070100:ABSV:200 mb:anl:
134:6576510:d=2020070100:CLMR:200 mb:anl:
135:6576744:d=2020070100:ICMR:200 mb:anl:
136:6605816:d=2020070100:RWMR:200 mb:anl:
137:6637318:d=2020070100:SNMR:200 mb:anl:
138:6638730:d=2020070100:GRLE:200 mb:anl:
139:6639122:d=2020070100:O3MR:200 mb:anl:
140:6722384:d=2020070100:HGT:250 mb:anl:
141:6787291:d=2020070100:TMP:250 mb:anl:
142:6823011:d=2020070100:RH:250 mb:anl:
143:6896177:d=2020070100:TCDC:250 mb:anl:
144:6896356:d=2020070100:VVEL:250 mb:anl:
145:6977672:d=2020070100:DZDT:250 mb:anl:
146:7061301:d=2020070100:UGRD:250 mb:anl:
147:7112284:d=2020070100:VGRD:250 mb:anl:
148:7164729:d=2020070100:ABSV:250 mb:anl:
149:7233195:d=2020070100:CLMR:250 mb:anl:
150:7233545:d=2020070100:ICMR:250 mb:anl:
151:7275017:d=2020070100:RWMR:250 mb:anl:
152:7308366:d=2020070100:SNMR:250 mb:anl:
153:7310816:d=2020070100:GRLE:250 mb:anl:
154:7311309:d=2020070100:O3MR:250 mb:anl:
155:7410908:d=2020070100:HGT:300 mb:anl:
156:7476002:d=2020070100:TMP:300 mb:anl:
157:7512419:d=2020070100:RH:300 mb:anl:
158:7588709:d=2020070100:TCDC:300 mb:anl:
159:7588888:d=2020070100:VVEL:300 mb:anl:
160:7674238:d=2020070100:DZDT:300 mb:anl:
161:7760263:d=2020070100:UGRD:300 mb:anl:
162:7812919:d=2020070100:VGRD:300 mb:anl:
163:7867760:d=2020070100:ABSV:300 mb:anl:
164:7939294:d=2020070100:CLMR:300 mb:anl:
165:7939831:d=2020070100:ICMR:300 mb:anl:
166:7986343:d=2020070100:RWMR:300 mb:anl:
167:8020273:d=2020070100:SNMR:300 mb:anl:
168:8023303:d=2020070100:GRLE:300 mb:anl:
169:8023949:d=2020070100:O3MR:300 mb:anl:
170:8121343:d=2020070100:HGT:350 mb:anl:
171:8186005:d=2020070100:TMP:350 mb:anl:
172:8220993:d=2020070100:RH:350 mb:anl:
173:8296062:d=2020070100:TCDC:350 mb:anl:
174:8296241:d=2020070100:VVEL:350 mb:anl:
175:8382767:d=2020070100:DZDT:350 mb:anl:
176:8468476:d=2020070100:UGRD:350 mb:anl:
177:8519796:d=2020070100:VGRD:350 mb:anl:
178:8573725:d=2020070100:ABSV:350 mb:anl:
179:8643878:d=2020070100:CLMR:350 mb:anl:
180:8644853:d=2020070100:ICMR:350 mb:anl:
181:8694042:d=2020070100:RWMR:350 mb:anl:
182:8695091:d=2020070100:SNMR:350 mb:anl:
183:8699103:d=2020070100:GRLE:350 mb:anl:
184:8699893:d=2020070100:O3MR:350 mb:anl:
185:8801209:d=2020070100:HGT:400 mb:anl:
186:8865035:d=2020070100:TMP:400 mb:anl:
187:8901775:d=2020070100:RH:400 mb:anl:
188:8977281:d=2020070100:TCDC:400 mb:anl:
189:8977460:d=2020070100:VVEL:400 mb:anl:
190:9065076:d=2020070100:DZDT:400 mb:anl:
191:9150394:d=2020070100:UGRD:400 mb:anl:
192:9202335:d=2020070100:VGRD:400 mb:anl:
193:9256443:d=2020070100:ABSV:400 mb:anl:
194:9327117:d=2020070100:CLMR:400 mb:anl:
195:9328958:d=2020070100:ICMR:400 mb:anl:
196:9376135:d=2020070100:RWMR:400 mb:anl:
197:9376977:d=2020070100:SNMR:400 mb:anl:
198:9381976:d=2020070100:GRLE:400 mb:anl:
199:9382913:d=2020070100:O3MR:400 mb:anl:
200:9482695:d=2020070100:HGT:450 mb:anl:
201:9553992:d=2020070100:TMP:450 mb:anl:
202:9590076:d=2020070100:RH:450 mb:anl:
203:9665246:d=2020070100:TCDC:450 mb:anl:
204:9665425:d=2020070100:VVEL:450 mb:anl:
205:9753114:d=2020070100:DZDT:450 mb:anl:
206:9837620:d=2020070100:UGRD:450 mb:anl:
207:9888432:d=2020070100:VGRD:450 mb:anl:
208:9941184:d=2020070100:ABSV:450 mb:anl:
209:10010742:d=2020070100:CLMR:450 mb:anl:
210:10013577:d=2020070100:ICMR:450 mb:anl:
211:10059198:d=2020070100:RWMR:450 mb:anl:
212:10059950:d=2020070100:SNMR:450 mb:anl:
213:10065723:d=2020070100:GRLE:450 mb:anl:
214:10067008:d=2020070100:HGT:500 mb:anl:
215:10137394:d=2020070100:TMP:500 mb:anl:
216:10175142:d=2020070100:RH:500 mb:anl:
217:10251462:d=2020070100:TCDC:500 mb:anl:
218:10251641:d=2020070100:VVEL:500 mb:anl:
219:10339950:d=2020070100:DZDT:500 mb:anl:
220:10424001:d=2020070100:UGRD:500 mb:anl:
221:10502321:d=2020070100:VGRD:500 mb:anl:
222:10582284:d=2020070100:ABSV:500 mb:anl:
223:10652344:d=2020070100:CLMR:500 mb:anl:
224:10657725:d=2020070100:ICMR:500 mb:anl:
225:10702134:d=2020070100:RWMR:500 mb:anl:
226:10703104:d=2020070100:SNMR:500 mb:anl:
227:10709529:d=2020070100:GRLE:500 mb:anl:
228:10711337:d=2020070100:O3MR:500 mb:anl:
229:10807032:d=2020070100:HGT:550 mb:anl:
230:10877094:d=2020070100:TMP:550 mb:anl:
231:10914628:d=2020070100:RH:550 mb:anl:
232:10990211:d=2020070100:TCDC:550 mb:anl:
233:10990390:d=2020070100:VVEL:550 mb:anl:
234:11078834:d=2020070100:DZDT:550 mb:anl:
235:11162225:d=2020070100:UGRD:550 mb:anl:
236:11240180:d=2020070100:VGRD:550 mb:anl:
237:11319533:d=2020070100:ABSV:550 mb:anl:
238:11388995:d=2020070100:CLMR:550 mb:anl:
239:11398441:d=2020070100:ICMR:550 mb:anl:
240:11440899:d=2020070100:RWMR:550 mb:anl:
241:11442791:d=2020070100:SNMR:550 mb:anl:
242:11449524:d=2020070100:GRLE:550 mb:anl:
243:11451822:d=2020070100:HGT:600 mb:anl:
244:11524693:d=2020070100:TMP:600 mb:anl:
245:11563083:d=2020070100:RH:600 mb:anl:
246:11638637:d=2020070100:TCDC:600 mb:anl:
247:11638816:d=2020070100:VVEL:600 mb:anl:
248:11728027:d=2020070100:DZDT:600 mb:anl:
249:11811229:d=2020070100:UGRD:600 mb:anl:
250:11889336:d=2020070100:VGRD:600 mb:anl:
251:11968775:d=2020070100:ABSV:600 mb:anl:
252:12038512:d=2020070100:CLMR:600 mb:anl:
253:12050184:d=2020070100:ICMR:600 mb:anl:
254:12091132:d=2020070100:RWMR:600 mb:anl:
255:12094641:d=2020070100:SNMR:600 mb:anl:
256:12100466:d=2020070100:GRLE:600 mb:anl:
257:12102469:d=2020070100:HGT:650 mb:anl:
258:12175479:d=2020070100:TMP:650 mb:anl:
259:12215314:d=2020070100:RH:650 mb:anl:
260:12291221:d=2020070100:TCDC:650 mb:anl:
261:12291400:d=2020070100:VVEL:650 mb:anl:
262:12381305:d=2020070100:DZDT:650 mb:anl:
263:12464090:d=2020070100:UGRD:650 mb:anl:
264:12542658:d=2020070100:VGRD:650 mb:anl:
265:12622638:d=2020070100:ABSV:650 mb:anl:
266:12693040:d=2020070100:CLMR:650 mb:anl:
267:12705725:d=2020070100:ICMR:650 mb:anl:
268:12740642:d=2020070100:RWMR:650 mb:anl:
269:12745015:d=2020070100:SNMR:650 mb:anl:
